Survivor Gender,Steam Player,Anonymous Mode,Prestige,Item,Map Area,Survivor BP,Killer BP,Result
M,No,No,100,Medkit,8448,24854,31729,Dead
F,No,No,80,Toolbox,8448,15090,31729,Dead
F,No,No,38,Flashlight,8448,10141,31729,Dead
F,No,No,12,None,8448,9081,31729,Dead
F,Yes,No,100,Toolbox,10752,18150,28380,Dead
F,Yes,No,3,Flashlight,10752,17229,28380,Dead
F,Yes,No,7,None,10752,16575,28380,Dead
M,No,No,73,None,10752,5550,28380,Dead
F,No,No,100,Flashlight,9472,26361,40461,Dead
F,No,Yes,64,None,9472,23740,40461,Dead
F,Yes,No,19,Medkit,9472,21882,40461,Dead
F,Yes,No,26,Medkit,9472,14388,40461,Dead
F,No,No,17,Flashlight,9984,17168,34230,Dead
M,No,No,17,Medkit,9984,15636,34230,Dead
M,No,No,13,Toolbox,9984,15084,34230,Dead
M,No,No,24,Medkit,9984,15079,34230,Dead
M,No,No,24,Medkit,9472,14506,31347,Dead
M,No,No,14,Toolbox,9472,13741,31347,Dead
F,No,No,17,Flashlight,9472,8938,31347,Dead
F,No,No,17,Medkit,9472,8305,31347,Dead
F,No,No,45,None,10496,20034,34900,Dead
F,No,No,100,Flashlight,10496,19876,34900,Dead
M,Yes,No,94,None,10496,17366,34900,Dead
M,No,No,23,Medkit,10496,15208,34900,Dead
F,Yes,No,45,Flashlight,9216,15421,14290,Escape
M,Yes,No,1,Flashlight,9216,2773,14290,Dead
F,Yes,No,37,Flashlight,9216,2667,14290,Dead
F,Yes,No,100,Medkit,9216,567,14290,Dead
F,Yes,No,4,Toolbox,9800,26001,33410,Escape
F,No,No,6,Flashlight,9800,16873,33410,Dead
F,No,No,3,None,9800,15166,33410,Dead
F,Yes,No,100,Medkit,9800,12366,33410,Dead
M,No,No,6,None,9984,10421,21626,Dead
F,No,No,66,Flashlight,9984,9853,21626,Dead
F,No,No,66,Flashlight,9984,7474,21626,Dead
F,No,No,5,Flashlight,9984,5233,21626,Dead
F,Yes,No,78,Medkit,9472,25623,38400,Dead
F,Yes,No,79,Medkit,9472,23779,38400,Dead
F,Yes,No,12,Medkit,9472,20762,38400,Dead
M,Yes,No,25,Flashlight,9472,17864,38400,Dead
F,Yes,No,35,Medkit,9984,17879,35715,Dead
F,No,No,66,Flashlight,9984,17268,35715,Dead
F,Yes,Yes,12,None,9984,16615,35715,Dead
F,Yes,Yes,63,Medkit,9984,15061,35715,Dead
M,No,No,9,Medkit,8448,28047,32910,Escape
F,Yes,No,4,None,8448,25440,32910,Dead
F,Yes,No,3,Firecracker,8448,23616,32910,Escape
F,Yes,No,3,Medkit,8448,13792,32910,Dead
F,Yes,No,13,Medkit,9728,23153,25898,Escape
F,Yes,No,23,Medkit,9728,17323,25898,Dead
F,Yes,No,62,Medkit,9728,17219,25898,Escape
F,No,No,10,Toolbox,9728,15947,25898,Dead
F,No,No,2,Medkit,7264,21355,37712,Dead
M,Yes,No,97,Medkit,7264,21130,37712,Dead
F,No,No,85,Flashlight,7264,19034,37712,Dead
F,Yes,No,100,Flashlight,7264,15470,37712,Dead
F,No,No,8,None,9728,10767,20316,Dead
F,No,No,99,Toolbox,9728,9006,20316,Dead
